State,County,Lat,Long
Nebraska,Cuming County,41.9158651,-96.7885168
Washington,Wahkiakum County,46.2946377,-123.4244583
New Mexico,De Baca County,34.3592729,-104.3686961
Nebraska,Lancaster County,40.7835474,-96.6886584
Nebraska,Nuckolls County,40.1764918,-98.0468422
,Las Piedras Municipio,18.1871483,-65.871189
South Dakota,Minnehaha County,43.6674723,-96.7957261
Texas,Menard County,30.8843921,-99.8539616
California,Sierra County,39.5769252,-120.5219926
Kentucky,Clinton County,36.7272577,-85.1360977
Ohio,Hancock County,41.0004711,-83.6660335
Texas,Hale County,34.0684364,-101.8228879
Alabama,Clay County,33.2703999,-85.8635254
Texas,Armstrong County,34.964179,-101.3566363
Ohio,Allen County,40.7716274,-84.1061032
Georgia,McDuffie County,33.4796231,-82.4787331
Wisconsin,Sauk County,43.4279976,-89.943329
Arkansas,Stone County,35.8570169,-92.140508
Oregon,Wallowa County,45.593753,-117.1855796
Pennsylvania,Beaver County,40.6841401,-80.3507209
Mississippi,Jasper County,32.0169894,-89.1194302
Missouri,Henry County,38.3864909,-93.7926278
Colorado,Saguache County,38.0316514,-106.2346662
North Carolina,Chatham County,35.7049939,-79.2514542
Utah,Rich County,41.6275976,-111.2402269
Oklahoma,Adair County,35.8980428,-94.6510258
Ohio,Lake County,41.9241163,-81.3926429
Virginia,Salem city,37.2853329,-80.0552407
Virginia,Montgomery County,37.1755344,-80.3877913
Tennessee,Hamilton County,35.1607616,-85.1977114
New Mexico,Otero County,32.5887755,-105.7809799
New Mexico,Catron County,33.9018583,-108.3920882
Alabama,Marengo County,32.2475911,-87.791091
Wyoming,Lincoln County,42.2299932,-110.6829614
Missouri,Barton County,37.5007989,-94.3440893
Texas,Calhoun County,28.4417191,-96.5795739
Virginia,Poquoson city,37.1283599,-76.3035337
West Virginia,Pocahontas County,38.332606,-80.0101207
Texas,Clay County,33.7859042,-98.2129174
Virginia,James City County,37.3248367,-76.7778878
Nebraska,Keith County,41.1942448,-101.6444493
Nebraska,Phelps County,40.5163647,-99.4065568
Louisiana,Calcasieu Parish,30.2295588,-93.3580154
Louisiana,Union Parish,32.8293486,-92.3756501
Oklahoma,Sequoyah County,35.5024345,-94.7507569
Alabama,DeKalb County,34.460929,-85.803992
New York,Steuben County,42.2667252,-77.3855253
Pennsylvania,Forest County,41.513304,-79.249705
Louisiana,Tangipahoa Parish,30.6215802,-90.4066329
Virginia,Stafford County,38.4153998,-77.4548785
Michigan,Menominee County,45.5382374,-87.4929489
Indiana,Jasper County,41.0176883,-87.1188137
Georgia,Brantley County,31.1973339,-81.9829779
Georgia,Lamar County,33.0744605,-84.1467208
Indiana,Steuben County,41.643467,-85.0024051
Texas,Orange County,30.1223229,-93.8940999
Ohio,Fayette County,39.5552462,-83.4618927
Massachusetts,Hampshire County,42.3394593,-72.6636936
Kentucky,Allen County,36.7507703,-86.192458
North Carolina,Alamance County,36.0439535,-79.4005733
Kansas,Greenwood County,37.8793472,-96.2417321
Massachusetts,Suffolk County,42.3385513,-71.018253
Idaho,Jefferson County,43.7969649,-112.3185879
Texas,Gonzales County,29.4619121,-97.4919205
Tennessee,Marion County,35.1334215,-85.618399
Michigan,Alpena County,44.894954,-83.4265739
Kentucky,Wayne County,36.8020113,-84.8304404
Tennessee,White County,35.9270486,-85.4557854
Texas,Fannin County,33.5911611,-96.1049882
Kansas,Doniphan County,39.7885021,-95.1472253
Texas,Kerr County,30.059953,-99.3533388
Florida,Hernando County,28.5730426,-82.4662272
Florida,Wakulla County,30.1403575,-84.3751122
Florida,Walton County,30.6312106,-86.1766139
Mississippi,Chickasaw County,33.9216539,-88.9458075
Alaska,Ketchikan Gateway Borough,55.4499378,-131.1066847
Michigan,Clare County,43.9911368,-84.8383253
Kansas,Republic County,39.8289103,-97.6509213
Florida,Volusia County,29.057769,-81.161792
Oklahoma,Canadian County,35.54341,-97.9798435
,Quebradillas Municipio,18.466357,-66.9276025
,St. Thomas Island,18.3267484,-64.9712505
Georgia,Floyd County,34.2636918,-85.2136851
Nevada,Churchill County,39.53771,-118.2641654
Nebraska,Webster County,40.1806461,-98.4985897
Illinois,Hancock County,40.4057924,-91.1679875
South Dakota,Hutchinson County,43.3367101,-97.7493828
Oregon,Crook County,44.1630537,-120.3715849
Vermont,Franklin County,44.8589643,-72.9094023
Michigan,Marquette County,46.6565964,-87.5840278
Connecticut,Middlesex County,41.4330028,-72.5227802
North Carolina,Davidson County,35.7951312,-80.207107
Illinois,Clay County,38.746832,-88.4823443
Missouri,Knox County,40.1368559,-92.1468345
Missouri,Livingston County,39.778587,-93.5482013
Pennsylvania,Tioga County,41.7668593,-77.2572881
Nebraska,Dakota County,42.3916449,-96.5613555
Michigan,Leelanau County,45.1461816,-86.051574
Virginia,Surry County,37.1197611,-76.8801717
Texas,Refugio County,28.3127162,-97.1613657
Ohio,Butler County,39.4397469,-84.5657341
Georgia,Terrell County,31.7771909,-84.4394464
Georgia,Clayton County,33.5426863,-84.3555727
Wyoming,Fremont County,43.054831,-108.6089349
Indiana,Ohio County,38.940527,-84.9642994
Georgia,Columbia County,33.5476313,-82.2522957
Colorado,Sedgwick County,40.8715679,-102.3553579
Montana,Musselshell County,46.5052807,-108.4397631
Pennsylvania,Dauphin County,40.4125646,-76.7926343
South Dakota,Moody County,44.0124293,-96.6760536
West Virginia,Putnam County,38.5105128,-81.906109
New Jersey,Sussex County,41.1374609,-74.6919141
Kansas,Decatur County,39.783542,-100.4597084
Indiana,Perry County,38.0814361,-86.6265397
Mississippi,Union County,34.4895325,-89.0023393
Nebraska,Boyd County,42.8944477,-98.7730221
Minnesota,Mille Lacs County,45.9290434,-93.6329964
North Dakota,Walsh County,48.3769789,-97.7222304
Ohio,Morgan County,39.6249458,-81.8616967
Ohio,Portage County,41.1688366,-81.197042
Wyoming,Uinta County,41.2847255,-110.5589468
Nevada,Humboldt County,41.4079136,-118.1275915
Texas,Jim Hogg County,27.0412118,-98.700127
Colorado,Cheyenne County,38.8353865,-102.6045852
Oregon,Clackamas County,45.1604934,-122.1951274
Arkansas,Polk County,34.4909149,-94.2308841
Georgia,Macon County,32.3626859,-84.0512306
Indiana,Benton County,40.6009826,-87.3147896
Tennessee,Morgan County,36.138697,-84.6392616
South Dakota,Douglas County,43.3915064,-98.3584331
Maryland,Worcester County,38.2221332,-75.3099315
Illinois,Wabash County,38.4458209,-87.8391674
Indiana,Huntington County,40.8263938,-85.4785975
Kentucky,Scott County,38.2898822,-84.5793761
Iowa,Decatur County,40.7363787,-93.7845799
Indiana,Wabash County,40.8437475,-85.7951915
Indiana,Allen County,41.0918553,-85.0722302
Indiana,Marshall County,41.3250032,-86.2690363
Nebraska,Thomas County,41.8486202,-100.5069105
North Dakota,Sioux County,46.1106181,-101.061284
Texas,Dimmit County,28.4235871,-99.7658713
Minnesota,Fillmore County,43.6791869,-92.0939369
South Carolina,Chester County,34.6893424,-81.1612488
Minnesota,Lac qui Parle County,44.9998572,-96.1768376
Utah,Cache County,41.7341676,-111.744568
Wisconsin,Pierce County,44.7253365,-92.4262793
Georgia,Charlton County,30.7799036,-82.1396442
Georgia,Polk County,33.9960153,-85.1883384
Illinois,McLean County,40.4945594,-88.8445391
Maine,Androscoggin County,44.1676811,-70.2074347
Idaho,Kootenai County,47.6771129,-116.6949184
Nevada,Clark County,36.2142575,-115.013812
Kansas,Phillips County,39.7845058,-99.3421498
Nebraska,Holt County,42.4592867,-98.7847662
Missouri,Johnson County,38.741528,-93.8118634
Wisconsin,La Crosse County,43.9082222,-91.1117584
Louisiana,Caldwell Parish,32.1012195,-92.1142311
Kentucky,Edmonson County,37.2275136,-86.2180153
Illinois,Bond County,38.885924,-89.4365916
Illinois,Brown County,39.9620694,-90.7503095
Minnesota,McLeod County,44.8216571,-94.2723231
Wisconsin,Dunn County,44.9477454,-91.8976612
Colorado,Custer County,38.1019939,-105.3735148
Missouri,Madison County,37.4732347,-90.3454526
Texas,Nolan County,32.3123379,-100.4181078
Pennsylvania,Wayne County,41.6470068,-75.293193
New York,Saratoga County,43.1061353,-73.8553872
Texas,Brazos County,30.6567132,-96.3023935
Oklahoma,Marshall County,34.0270068,-96.770533
Maryland,Allegany County,39.6123134,-78.7031037
West Virginia,Wetzel County,39.6006015,-80.6281566
Wisconsin,Jackson County,44.326331,-90.7974909
Oregon,Clatsop County,46.0245092,-123.705014
Washington,Lewis County,46.5800714,-122.3774443
New York,Allegany County,42.2478532,-78.0261531
Iowa,Cedar County,41.77236,-91.1326105
Indiana,Orange County,38.5473812,-86.489257
Georgia,DeKalb County,33.7706611,-84.2263432
Georgia,Pickens County,34.4568044,-84.4903326
Montana,Chouteau County,47.8868343,-110.4362004
Nebraska,Brown County,42.3595618,-99.9239198
Tennessee,Campbell County,36.4015922,-84.1592495
North Carolina,Franklin County,36.0882406,-78.2830903
Maryland,Baltimore city,39.3000324,-76.6104761
Kansas,Lyon County,38.4554978,-96.1615888
Iowa,Carroll County,42.039492,-94.8676471
Louisiana,Tensas Parish,32.0014894,-91.342576
Tennessee,Monroe County,35.4478181,-84.249705
Kansas,Hamilton County,37.9952438,-101.7936887
Iowa,Pocahontas County,42.7340333,-94.6782789
Idaho,Gem County,44.0614727,-116.3987839
Arkansas,Independence County,35.7374992,-91.5599423
Arkansas,Lonoke County,34.7551137,-91.894132
Indiana,Newton County,40.9623985,-87.4021716
Georgia,Franklin County,34.3750807,-83.2280639
Florida,Hendry County,26.539967,-81.1521142
Georgia,Taliaferro County,33.559319,-82.8752721
Texas,Jefferson County,29.8539997,-94.1493306
Montana,Meagher County,46.5856996,-110.9217396
Colorado,La Plata County,37.2873673,-107.8397178
Texas,Bell County,31.0423136,-97.4814002
Mississippi,Kemper County,32.7501361,-88.6256306
Arkansas,Clark County,34.0533162,-93.1762085
Oregon,Klamath County,42.6837613,-121.6461682
New York,Oswego County,43.4614431,-76.2092618
,Naranjito Municipio,18.2899273,-66.2534402
Alabama,Cherokee County,34.0695153,-85.6542417
Texas,Bandera County,29.756389,-99.2482849
Montana,Rosebud County,46.1732331,-106.6667462
New Mexico,Union County,36.4880853,-103.4757229
Michigan,Schoolcraft County,46.0211217,-86.197029
New York,Ulster County,41.9472124,-74.2654582
New Jersey,Camden County,39.8023521,-74.9612507
Illinois,Jersey County,39.0801918,-90.3613647
Virginia,Hanover County,37.7602149,-77.4913168
Kansas,Wallace County,38.9266259,-101.7711031
Michigan,Alger County,47.0800765,-86.5641076
Arkansas,Fulton County,36.3836192,-91.8196636
Texas,Hidalgo County,26.3963839,-98.18099
North Carolina,Robeson County,34.6392096,-79.1008811
Michigan,Newaygo County,43.5627086,-85.7914227
Oregon,Morrow County,45.4254956,-119.6023111
Minnesota,Todd County,46.0665694,-94.9005758
Arkansas,Logan County,35.2186538,-93.7209102
